totalScore,fatigueLevel,totalTime,averageResponseTime,totalQuestions,questions,__v,id,createdAt.$date
23,Moderate Fatigue,65200,8150.0,8,"[{'questionIndex': 0, 'finalSelectedScore': 3, 'totalTimeSpent': 8739, 'clickEvents': [{'score': 3, 'timestamp': 7364, '_id': {'$oid': '699ab691e0102bcce28adef3'}}], '_id': {'$oid': '699ab691e0102bcce28adef2'}}, {'questionIndex': 1, 'finalSelectedScore': 4, 'totalTimeSpent': 9758, 'clickEvents': [{'score': 4, 'timestamp': 8444, '_id': {'$oid': '699ab691e0102bcce28adef5'}}], '_id': {'$oid': '699ab691e0102bcce28adef4'}}, {'questionIndex': 2, 'finalSelectedScore': 2, 'totalTimeSpent': 7966, 'clickEvents': [{'score': 2, 'timestamp': 6645, '_id': {'$oid': '699ab691e0102bcce28adef7'}}], '_id': {'$oid': '699ab691e0102bcce28adef6'}}, {'questionIndex': 3, 'finalSelectedScore': 3, 'totalTimeSpent': 8537, 'clickEvents': [{'score': 3, 'timestamp': 6477, '_id': {'$oid': '699ab691e0102bcce28adef9'}}], '_id': {'$oid': '699ab691e0102bcce28adef8'}}, {'questionIndex': 4, 'finalSelectedScore': 3, 'totalTimeSpent': 9093, 'clickEvents': [{'score': 3, 'timestamp': 6499, '_id': {'$oid': '699ab691e0102bcce28adefb'}}, {'score': 3, 'timestamp': 6937, '_id': {'$oid': '699ab691e0102bcce28adefc'}}, {'score': 3, 'timestamp': 6937, '_id': {'$oid': '699ab691e0102bcce28adefd'}}], '_id': {'$oid': '699ab691e0102bcce28adefa'}}, {'questionIndex': 5, 'finalSelectedScore': 2, 'totalTimeSpent': 9335, 'clickEvents': [{'score': 2, 'timestamp': 7926, '_id': {'$oid': '699ab691e0102bcce28adeff'}}], '_id': {'$oid': '699ab691e0102bcce28adefe'}}, {'questionIndex': 6, 'finalSelectedScore': 2, 'totalTimeSpent': 6939, 'clickEvents': [{'score': 2, 'timestamp': 5139, '_id': {'$oid': '699ab691e0102bcce28adf01'}}], '_id': {'$oid': '699ab691e0102bcce28adf00'}}, {'questionIndex': 7, 'finalSelectedScore': 4, 'totalTimeSpent': 4833, 'clickEvents': [{'score': 4, 'timestamp': 3278, '_id': {'$oid': '699ab691e0102bcce28adf03'}}], '_id': {'$oid': '699ab691e0102bcce28adf02'}}]",0,699ab691e0102bcce28adef1,2026-02-22T07:56:01.658Z
15,High Fatigue,74085,9260.625,8,"[{'questionIndex': 0, 'finalSelectedScore': 2, 'totalTimeSpent': 19867, 'clickEvents': [{'score': 2, 'timestamp': 18146, '_id': {'$oid': '699bde537b5ba782511e668f'}}], '_id': {'$oid': '699bde537b5ba782511e668e'}}, {'questionIndex': 1, 'finalSelectedScore': 3, 'totalTimeSpent': 6266, 'clickEvents': [{'score': 3, 'timestamp': 4796, '_id': {'$oid': '699bde537b5ba782511e6691'}}], '_id': {'$oid': '699bde537b5ba782511e6690'}}, {'questionIndex': 2, 'finalSelectedScore': 1, 'totalTimeSpent': 6075, 'clickEvents': [{'score': 1, 'timestamp': 4422, '_id': {'$oid': '699bde537b5ba782511e6693'}}], '_id': {'$oid': '699bde537b5ba782511e6692'}}, {'questionIndex': 3, 'finalSelectedScore': 1, 'totalTimeSpent': 9109, 'clickEvents': [{'score': 1, 'timestamp': 7263, '_id': {'$oid': '699bde537b5ba782511e6695'}}], '_id': {'$oid': '699bde537b5ba782511e6694'}}, {'questionIndex': 4, 'finalSelectedScore': 3, 'totalTimeSpent': 4293, 'clickEvents': [{'score': 3, 'timestamp': 2564, '_id': {'$oid': '699bde537b5ba782511e6697'}}], '_id': {'$oid': '699bde537b5ba782511e6696'}}, {'questionIndex': 5, 'finalSelectedScore': 1, 'totalTimeSpent': 16846, 'clickEvents': [{'score': 1, 'timestamp': 15092, '_id': {'$oid': '699bde537b5ba782511e6699'}}], '_id': {'$oid': '699bde537b5ba782511e6698'}}, {'questionIndex': 6, 'finalSelectedScore': 3, 'totalTimeSpent': 6081, 'clickEvents': [{'score': 3, 'timestamp': 4419, '_id': {'$oid': '699bde537b5ba782511e669b'}}], '_id': {'$oid': '699bde537b5ba782511e669a'}}, {'questionIndex': 7, 'finalSelectedScore': 1, 'totalTimeSpent': 5547, 'clickEvents': [{'score': 1, 'timestamp': 2916, '_id': {'$oid': '699bde537b5ba782511e669d'}}], '_id': {'$oid': '699bde537b5ba782511e669c'}}]",0,699bde537b5ba782511e668d,2026-02-23T04:57:55.761Z
24,Moderate Fatigue,200053,25006.625,8,"[{'questionIndex': 0, 'finalSelectedScore': 3, 'totalTimeSpent': 23569, 'clickEvents': [{'score': 3, 'timestamp': 11545, '_id': {'$oid': '699bdf4b7b5ba782511e66a1'}}], '_id': {'$oid': '699bdf4b7b5ba782511e66a0'}}, {'questionIndex': 1, 'finalSelectedScore': 3, 'totalTimeSpent': 13367, 'clickEvents': [{'score': 3, 'timestamp': 11695, '_id': {'$oid': '699bdf4b7b5ba782511e66a3'}}], '_id': {'$oid': '699bdf4b7b5ba782511e66a2'}}, {'questionIndex': 2, 'finalSelectedScore': 4, 'totalTimeSpent': 21970, 'clickEvents': [{'score': 4, 'timestamp': 20184, '_id': {'$oid': '699bdf4b7b5ba782511e66a5'}}, {'score': 4, 'timestamp': 20405, '_id': {'$oid': '699bdf4b7b5ba782511e66a6'}}, {'score': 4, 'timestamp': 20405, '_id': {'$oid': '699bdf4b7b5ba782511e66a7'}}], '_id': {'$oid': '699bdf4b7b5ba782511e66a4'}}, {'questionIndex': 3, 'finalSelectedScore': 2, 'totalTimeSpent': 44405, 'clickEvents': [{'score': 2, 'timestamp': 35448, '_id': {'$oid': '699bdf4b7b5ba782511e66a9'}}, {'score': 2, 'timestamp': 41329, '_id': {'$oid': '699bdf4b7b5ba782511e66aa'}}, {'score': 2, 'timestamp': 41329, '_id': {'$oid': '699bdf4b7b5ba782511e66ab'}}], '_id': {'$oid': '699bdf4b7b5ba782511e66a8'}}, {'questionIndex': 4, 'finalSelectedScore': 3, 'totalTimeSpent': 26725, 'clickEvents': [{'score': 3, 'timestamp': 14775, '_id': {'$oid': '699bdf4b7b5ba782511e66ad'}}], '_id': {'$oid': '699bdf4b7b5ba782511e66ac'}}, {'questionIndex': 5, 'finalSelectedScore': 3, 'totalTimeSpent': 34603, 'clickEvents': [{'score': 3, 'timestamp': 23378, '_id': {'$oid': '699bdf4b7b5ba782511e66af'}}], '_id': {'$oid': '699bdf4b7b5ba782511e66ae'}}, {'questionIndex': 6, 'finalSelectedScore': 2, 'totalTimeSpent': 23009, 'clickEvents': [{'score': 2, 'timestamp': 11749, '_id': {'$oid': '699bdf4b7b5ba782511e66b1'}}], '_id': {'$oid': '699bdf4b7b5ba782511e66b0'}}, {'questionIndex': 7, 'finalSelectedScore': 4, 'totalTimeSpent': 12402, 'clickEvents': [{'score': 4, 'timestamp': 8459, '_id': {'$oid': '699bdf4b7b5ba782511e66b3'}}], '_id': {'$oid': '699bdf4b7b5ba782511e66b2'}}]",0,699bdf4b7b5ba782511e669f,2026-02-23T05:02:03.756Z
21,Moderate Fatigue,92936,11617.125,8,"[{'questionIndex': 0, 'finalSelectedScore': 2, 'totalTimeSpent': 21996, 'clickEvents': [{'score': 2, 'timestamp': 20295, '_id': {'$oid': '699c059eb645a2fd59fb4174'}}], '_id': {'$oid': '699c059eb645a2fd59fb4173'}}, {'questionIndex': 1, 'finalSelectedScore': 4, 'totalTimeSpent': 9594, 'clickEvents': [{'score': 4, 'timestamp': 8053, '_id': {'$oid': '699c059eb645a2fd59fb4176'}}], '_id': {'$oid': '699c059eb645a2fd59fb4175'}}, {'questionIndex': 2, 'finalSelectedScore': 3, 'totalTimeSpent': 8817, 'clickEvents': [{'score': 3, 'timestamp': 7566, '_id': {'$oid': '699c059eb645a2fd59fb4178'}}], '_id': {'$oid': '699c059eb645a2fd59fb4177'}}, {'questionIndex': 3, 'finalSelectedScore': 1, 'totalTimeSpent': 13320, 'clickEvents': [{'score': 1, 'timestamp': 11549, '_id': {'$oid': '699c059eb645a2fd59fb417a'}}], '_id': {'$oid': '699c059eb645a2fd59fb4179'}}, {'questionIndex': 4, 'finalSelectedScore': 4, 'totalTimeSpent': 8725, 'clickEvents': [{'score': 4, 'timestamp': 7209, '_id': {'$oid': '699c059eb645a2fd59fb417c'}}], '_id': {'$oid': '699c059eb645a2fd59fb417b'}}, {'questionIndex': 5, 'finalSelectedScore': 2, 'totalTimeSpent': 17128, 'clickEvents': [{'score': 2, 'timestamp': 15639, '_id': {'$oid': '699c059eb645a2fd59fb417e'}}], '_id': {'$oid': '699c059eb645a2fd59fb417d'}}, {'questionIndex': 6, 'finalSelectedScore': 1, 'totalTimeSpent': 6428, 'clickEvents': [{'score': 1, 'timestamp': 4977, '_id': {'$oid': '699c059eb645a2fd59fb4180'}}], '_id': {'$oid': '699c059eb645a2fd59fb417f'}}, {'questionIndex': 7, 'finalSelectedScore': 4, 'totalTimeSpent': 6926, 'clickEvents': [{'score': 4, 'timestamp': 5089, '_id': {'$oid': '699c059eb645a2fd59fb4182'}}], '_id': {'$oid': '699c059eb645a2fd59fb4181'}}]",0,699c059eb645a2fd59fb4172,2026-02-23T07:45:34.322Z
20,Moderate Fatigue,55941,6992.625,8,"[{'questionIndex': 0, 'finalSelectedScore': 2, 'totalTimeSpent': 6058, 'clickEvents': [{'score': 2, 'timestamp': 3592, '_id': {'$oid': '699c05f5b645a2fd59fb4186'}}], '_id': {'$oid': '699c05f5b645a2fd59fb4185'}}, {'questionIndex': 1, 'finalSelectedScore': 3, 'totalTimeSpent': 8633, 'clickEvents': [{'score': 3, 'timestamp': 7495, '_id': {'$oid': '699c05f5b645a2fd59fb4188'}}], '_id': {'$oid': '699c05f5b645a2fd59fb4187'}}, {'questionIndex': 2, 'finalSelectedScore': 1, 'totalTimeSpent': 3884, 'clickEvents': [{'score': 1, 'timestamp': 2541, '_id': {'$oid': '699c05f5b645a2fd59fb418a'}}], '_id': {'$oid': '699c05f5b645a2fd59fb4189'}}, {'questionIndex': 3, 'finalSelectedScore': 1, 'totalTimeSpent': 5394, 'clickEvents': [{'score': 1, 'timestamp': 4291, '_id': {'$oid': '699c05f5b645a2fd59fb418c'}}], '_id': {'$oid': '699c05f5b645a2fd59fb418b'}}, {'questionIndex': 4, 'finalSelectedScore': 4, 'totalTimeSpent': 5333, 'clickEvents': [{'score': 4, 'timestamp': 4159, '_id': {'$oid': '699c05f5b645a2fd59fb418e'}}], '_id': {'$oid': '699c05f5b645a2fd59fb418d'}}, {'questionIndex': 5, 'finalSelectedScore': 3, 'totalTimeSpent': 13808, 'clickEvents': [{'score': 3, 'timestamp': 12693, '_id': {'$oid': '699c05f5b645a2fd59fb4190'}}], '_id': {'$oid': '699c05f5b645a2fd59fb418f'}}, {'questionIndex': 6, 'finalSelectedScore': 2, 'totalTimeSpent': 6430, 'clickEvents': [{'score': 2, 'timestamp': 5337, '_id': {'$oid': '699c05f5b645a2fd59fb4192'}}], '_id': {'$oid': '699c05f5b645a2fd59fb4191'}}, {'questionIndex': 7, 'finalSelectedScore': 4, 'totalTimeSpent': 6400, 'clickEvents': [{'score': 4, 'timestamp': 5118, '_id': {'$oid': '699c05f5b645a2fd59fb4194'}}], '_id': {'$oid': '699c05f5b645a2fd59fb4193'}}]",0,699c05f5b645a2fd59fb4184,2026-02-23T07:47:01.505Z
20,Moderate Fatigue,69135,8641.875,8,"[{'questionIndex': 0, 'finalSelectedScore': 3, 'totalTimeSpent': 13088, 'clickEvents': [{'score': 3, 'timestamp': 11353, '_id': {'$oid': '699c0642b645a2fd59fb4198'}}], '_id': {'$oid': '699c0642b645a2fd59fb4197'}}, {'questionIndex': 1, 'finalSelectedScore': 1, 'totalTimeSpent': 10109, 'clickEvents': [{'score': 1, 'timestamp': 8955, '_id': {'$oid': '699c0642b645a2fd59fb419a'}}], '_id': {'$oid': '699c0642b645a2fd59fb4199'}}, {'questionIndex': 2, 'finalSelectedScore': 3, 'totalTimeSpent': 7602, 'clickEvents': [{'score': 3, 'timestamp': 6215, '_id': {'$oid': '699c0642b645a2fd59fb419c'}}], '_id': {'$oid': '699c0642b645a2fd59fb419b'}}, {'questionIndex': 3, 'finalSelectedScore': 1, 'totalTimeSpent': 8486, 'clickEvents': [{'score': 1, 'timestamp': 7192, '_id': {'$oid': '699c0642b645a2fd59fb419e'}}], '_id': {'$oid': '699c0642b645a2fd59fb419d'}}, {'questionIndex': 4, 'finalSelectedScore': 4, 'totalTimeSpent': 8221, 'clickEvents': [{'score': 4, 'timestamp': 7047, '_id': {'$oid': '699c0642b645a2fd59fb41a0'}}], '_id': {'$oid': '699c0642b645a2fd59fb419f'}}, {'questionIndex': 5, 'finalSelectedScore': 2, 'totalTimeSpent': 10453, 'clickEvents': [{'score': 2, 'timestamp': 8621, '_id': {'$oid': '699c0642b645a2fd59fb41a2'}}], '_id': {'$oid': '699c0642b645a2fd59fb41a1'}}, {'questionIndex': 6, 'finalSelectedScore': 1, 'totalTimeSpent': 4756, 'clickEvents': [{'score': 1, 'timestamp': 3230, '_id': {'$oid': '699c0642b645a2fd59fb41a4'}}], '_id': {'$oid': '699c0642b645a2fd59fb41a3'}}, {'questionIndex': 7, 'finalSelectedScore': 5, 'totalTimeSpent': 6420, 'clickEvents': [{'score': 5, 'timestamp': 5311, '_id': {'$oid': '699c0642b645a2fd59fb41a6'}}], '_id': {'$oid': '699c0642b645a2fd59fb41a5'}}]",0,699c0642b645a2fd59fb4196,2026-02-23T07:48:18.368Z
18,High Fatigue,57119,7139.875,8,"[{'questionIndex': 0, 'finalSelectedScore': 2, 'totalTimeSpent': 7561, 'clickEvents': [{'score': 2, 'timestamp': 5683, '_id': {'$oid': '699daa1cd33964d246f6e250'}}], '_id': {'$oid': '699daa1cd33964d246f6e24f'}}, {'questionIndex': 1, 'finalSelectedScore': 4, 'totalTimeSpent': 2486, 'clickEvents': [{'score': 4, 'timestamp': 1145, '_id': {'$oid': '699daa1cd33964d246f6e252'}}], '_id': {'$oid': '699daa1cd33964d246f6e251'}}, {'questionIndex': 2, 'finalSelectedScore': 2, 'totalTimeSpent': 7603, 'clickEvents': [{'score': 3, 'timestamp': 2654, '_id': {'$oid': '699daa1cd33964d246f6e254'}}, {'score': 4, 'timestamp': 3923, '_id': {'$oid': '699daa1cd33964d246f6e255'}}, {'score': 4, 'timestamp': 3923, '_id': {'$oid': '699daa1cd33964d246f6e256'}}, {'score': 3, 'timestamp': 5085, '_id': {'$oid': '699daa1cd33964d246f6e257'}}, {'score': 3, 'timestamp': 5085, '_id': {'$oid': '699daa1cd33964d246f6e258'}}, {'score': 2, 'timestamp': 6427, '_id': {'$oid': '699daa1cd33964d246f6e259'}}, {'score': 2, 'timestamp': 6427, '_id': {'$oid': '699daa1cd33964d246f6e25a'}}], '_id': {'$oid': '699daa1cd33964d246f6e253'}}, {'questionIndex': 3, 'finalSelectedScore': 2, 'totalTimeSpent': 4944, 'clickEvents': [{'score': 2, 'timestamp': 1945, '_id': {'$oid': '699daa1cd33964d246f6e25c'}}], '_id': {'$oid': '699daa1cd33964d246f6e25b'}}, {'questionIndex': 4, 'finalSelectedScore': 3, 'totalTimeSpent': 8268, 'clickEvents': [{'score': 3, 'timestamp': 4104, '_id': {'$oid': '699daa1cd33964d246f6e25e'}}], '_id': {'$oid': '699daa1cd33964d246f6e25d'}}, {'questionIndex': 5, 'finalSelectedScore': 1, 'totalTimeSpent': 15873, 'clickEvents': [{'score': 1, 'timestamp': 13374, '_id': {'$oid': '699daa1cd33964d246f6e260'}}], '_id': {'$oid': '699daa1cd33964d246f6e25f'}}, {'questionIndex': 6, 'finalSelectedScore': 2, 'totalTimeSpent': 3950, 'clickEvents': [{'score': 2, 'timestamp': 2308, '_id': {'$oid': '699daa1cd33964d246f6e262'}}], '_id': {'$oid': '699daa1cd33964d246f6e261'}}, {'questionIndex': 7, 'finalSelectedScore': 2, 'totalTimeSpent': 6434, 'clickEvents': [{'score': 2, 'timestamp': 5247, '_id': {'$oid': '699daa1cd33964d246f6e264'}}], '_id': {'$oid': '699daa1cd33964d246f6e263'}}]",0,699daa1cd33964d246f6e24e,2026-02-24T13:39:40.630Z
30,Moderate Fatigue,35389,4423.625,8,"[{'questionIndex': 0, 'finalSelectedScore': 4, 'totalTimeSpent': 4695, 'clickEvents': [{'score': 4, 'timestamp': 3426, '_id': {'$oid': '699daa45d33964d246f6e268'}}], '_id': {'$oid': '699daa45d33964d246f6e267'}}, {'questionIndex': 1, 'finalSelectedScore': 4, 'totalTimeSpent': 4691, 'clickEvents': [{'score': 4, 'timestamp': 2376, '_id': {'$oid': '699daa45d33964d246f6e26a'}}], '_id': {'$oid': '699daa45d33964d246f6e269'}}, {'questionIndex': 2, 'finalSelectedScore': 4, 'totalTimeSpent': 3761, 'clickEvents': [{'score': 4, 'timestamp': 2516, '_id': {'$oid': '699daa45d33964d246f6e26c'}}], '_id': {'$oid': '699daa45d33964d246f6e26b'}}, {'questionIndex': 3, 'finalSelectedScore': 4, 'totalTimeSpent': 3723, 'clickEvents': [{'score': 4, 'timestamp': 2552, '_id': {'$oid': '699daa45d33964d246f6e26e'}}], '_id': {'$oid': '699daa45d33964d246f6e26d'}}, {'questionIndex': 4, 'finalSelectedScore': 4, 'totalTimeSpent': 2903, 'clickEvents': [{'score': 4, 'timestamp': 1843, '_id': {'$oid': '699daa45d33964d246f6e270'}}], '_id': {'$oid': '699daa45d33964d246f6e26f'}}, {'questionIndex': 5, 'finalSelectedScore': 2, 'totalTimeSpent': 9578, 'clickEvents': [{'score': 4, 'timestamp': 3609, '_id': {'$oid': '699daa45d33964d246f6e272'}}, {'score': 2, 'timestamp': 7595, '_id': {'$oid': '699daa45d33964d246f6e273'}}, {'score': 2, 'timestamp': 7595, '_id': {'$oid': '699daa45d33964d246f6e274'}}], '_id': {'$oid': '699daa45d33964d246f6e271'}}, {'questionIndex': 6, 'finalSelectedScore': 4, 'totalTimeSpent': 3004, 'clickEvents': [{'score': 4, 'timestamp': 2078, '_id': {'$oid': '699daa45d33964d246f6e276'}}], '_id': {'$oid': '699daa45d33964d246f6e275'}}, {'questionIndex': 7, 'finalSelectedScore': 4, 'totalTimeSpent': 3032, 'clickEvents': [{'score': 4, 'timestamp': 2049, '_id': {'$oid': '699daa45d33964d246f6e278'}}], '_id': {'$oid': '699daa45d33964d246f6e277'}}]",0,699daa45d33964d246f6e266,2026-02-24T13:40:21.260Z
37,Low Fatigue,35643,4455.375,8,"[{'questionIndex': 0, 'finalSelectedScore': 5, 'totalTimeSpent': 6141, 'clickEvents': [{'score': 5, 'timestamp': 4675, '_id': {'$oid': '699daa6dd33964d246f6e27c'}}], '_id': {'$oid': '699daa6dd33964d246f6e27b'}}, {'questionIndex': 1, 'finalSelectedScore': 5, 'totalTimeSpent': 3175, 'clickEvents': [{'score': 5, 'timestamp': 2160, '_id': {'$oid': '699daa6dd33964d246f6e27e'}}], '_id': {'$oid': '699daa6dd33964d246f6e27d'}}, {'questionIndex': 2, 'finalSelectedScore': 5, 'totalTimeSpent': 2804, 'clickEvents': [{'score': 5, 'timestamp': 1922, '_id': {'$oid': '699daa6dd33964d246f6e280'}}], '_id': {'$oid': '699daa6dd33964d246f6e27f'}}, {'questionIndex': 3, 'finalSelectedScore': 4, 'totalTimeSpent': 4233, 'clickEvents': [{'score': 4, 'timestamp': 3222, '_id': {'$oid': '699daa6dd33964d246f6e282'}}], '_id': {'$oid': '699daa6dd33964d246f6e281'}}, {'questionIndex': 4, 'finalSelectedScore': 5, 'totalTimeSpent': 3182, 'clickEvents': [{'score': 5, 'timestamp': 2418, '_id': {'$oid': '699daa6dd33964d246f6e284'}}], '_id': {'$oid': '699daa6dd33964d246f6e283'}}, {'questionIndex': 5, 'finalSelectedScore': 3, 'totalTimeSpent': 8914, 'clickEvents': [{'score': 3, 'timestamp': 3809, '_id': {'$oid': '699daa6dd33964d246f6e286'}}], '_id': {'$oid': '699daa6dd33964d246f6e285'}}, {'questionIndex': 6, 'finalSelectedScore': 5, 'totalTimeSpent': 4816, 'clickEvents': [{'score': 5, 'timestamp': 3911, '_id': {'$oid': '699daa6dd33964d246f6e288'}}], '_id': {'$oid': '699daa6dd33964d246f6e287'}}, {'questionIndex': 7, 'finalSelectedScore': 5, 'totalTimeSpent': 2378, 'clickEvents': [{'score': 5, 'timestamp': 1470, '_id': {'$oid': '699daa6dd33964d246f6e28a'}}], '_id': {'$oid': '699daa6dd33964d246f6e289'}}]",0,699daa6dd33964d246f6e27a,2026-02-24T13:41:01.323Z
20,Moderate Fatigue,54051,6756.375,8,"[{'questionIndex': 0, 'finalSelectedScore': 3, 'totalTimeSpent': 2977, 'clickEvents': [{'score': 3, 'timestamp': 1288, '_id': {'$oid': '699daaa8d33964d246f6e28e'}}], '_id': {'$oid': '699daaa8d33964d246f6e28d'}}, {'questionIndex': 1, 'finalSelectedScore': 3, 'totalTimeSpent': 12823, 'clickEvents': [{'score': 2, 'timestamp': 1617, '_id': {'$oid': '699daaa8d33964d246f6e290'}}, {'score': 3, 'timestamp': 11325, '_id': {'$oid': '699daaa8d33964d246f6e291'}}, {'score': 3, 'timestamp': 11325, '_id': {'$oid': '699daaa8d33964d246f6e292'}}], '_id': {'$oid': '699daaa8d33964d246f6e28f'}}, {'questionIndex': 2, 'finalSelectedScore': 3, 'totalTimeSpent': 8154, 'clickEvents': [{'score': 5, 'timestamp': 2620, '_id': {'$oid': '699daaa8d33964d246f6e294'}}, {'score': 3, 'timestamp': 5096, '_id': {'$oid': '699daaa8d33964d246f6e295'}}, {'score': 3, 'timestamp': 5096, '_id': {'$oid': '699daaa8d33964d246f6e296'}}], '_id': {'$oid': '699daaa8d33964d246f6e293'}}, {'questionIndex': 3, 'finalSelectedScore': 1, 'totalTimeSpent': 6257, 'clickEvents': [{'score': 1, 'timestamp': 4344, '_id': {'$oid': '699daaa8d33964d246f6e298'}}], '_id': {'$oid': '699daaa8d33964d246f6e297'}}, {'questionIndex': 4, 'finalSelectedScore': 3, 'totalTimeSpent': 7281, 'clickEvents': [{'score': 3, 'timestamp': 3934, '_id': {'$oid': '699daaa8d33964d246f6e29a'}}, {'score': 4, 'timestamp': 5135, '_id': {'$oid': '699daaa8d33964d246f6e29b'}}, {'score': 4, 'timestamp': 5135, '_id': {'$oid': '699daaa8d33964d246f6e29c'}}, {'score': 3, 'timestamp': 6215, '_id': {'$oid': '699daaa8d33964d246f6e29d'}}, {'score': 3, 'timestamp': 6215, '_id': {'$oid': '699daaa8d33964d246f6e29e'}}], '_id': {'$oid': '699daaa8d33964d246f6e299'}}, {'questionIndex': 5, 'finalSelectedScore': 1, 'totalTimeSpent': 6761, 'clickEvents': [{'score': 1, 'timestamp': 5605, '_id': {'$oid': '699daaa8d33964d246f6e2a0'}}], '_id': {'$oid': '699daaa8d33964d246f6e29f'}}, {'questionIndex': 6, 'finalSelectedScore': 3, 'totalTimeSpent': 5148, 'clickEvents': [{'score': 3, 'timestamp': 3970, '_id': {'$oid': '699daaa8d33964d246f6e2a2'}}], '_id': {'$oid': '699daaa8d33964d246f6e2a1'}}, {'questionIndex': 7, 'finalSelectedScore': 3, 'totalTimeSpent': 4650, 'clickEvents': [{'score': 3, 'timestamp': 3722, '_id': {'$oid': '699daaa8d33964d246f6e2a4'}}], '_id': {'$oid': '699daaa8d33964d246f6e2a3'}}]",0,699daaa8d33964d246f6e28c,2026-02-24T13:42:00.092Z
